half_day_key,prev_num_articles_ma1_10,prev_extremely_positive_count_ma1_5,prev_atr_lag9,prev_macd_signal_lag4,prev_rsi_ma5,prev_bb_lower_lag10,prev_quote_volume_ma8,prev_macd_hist_std8_ma,prev_williams_r_ma7,volume_prev_ma10,prev_quote_volume_ma7,prev_close_ma5,prev_avg_sentiment_std1_6_ma,prev_macd_hist_std7_ma,prev_extremely_positive_count_ma1_4,prev_extremely_negative_count_lag5,prev_taker_buy_base_volume_std7_ma,avg_sentiment_news_prev_std5_ma,2_periods_back_back_change_pct,2_periods_back_back_change_pct_lag1,2_periods_back_back_change_pct_lag4,prev_avg_sentiment_lag4,prev_min_sentiment_lag10,2_periods_back_back_change_pct_lag8,prev_std_sentiment_lag1,prev_min_sentiment_lag1,prev_std_sentiment_lag3,prev_rsi_std2_ma,prev_taker_buy_quote_volume_lag10,prev_median_sentiment_lag8,,Indicator
2024-03-26_H2,28.5,9.4,3170.039204,-360.6149237,54.61477101,61941.24311,1328030540,261.7117651,-31.80493491,1045254030,1234434341,67992.904,0.550681294,224.835622,11.25,1,5030.293667,0.654770194,0.011551923,0.045764208,0.020720288,0.535555556,-4.62,-0.019142898,2.234737208,-4.81,2.109161205,3.142756694,831073362.1,0.38,,0
2024-03-27_H1,31.7,13,3128.172118,-384.5432451,56.70292431,61690.26059,1272995818,277.6081193,-26.33368426,1040385645,1340509084,68924.826,0.792628699,246.6916337,14.75,2,4831.006307,0.684267582,-0.01003442,0.011551923,0.02874181,1.819285714,-4.79,-0.006576951,1.809031597,-0.95,1.679352597,1.386557739,943760489.2,0.68,,1
2024-03-27_H2,32.1,12.8,3077.16411,-377.6188428,57.91252059,61321.76293,1293411632,291.9784444,-19.66937314,1032121156,1348791976,69527.396,0.838739104,281.3060663,14.25,1,4627.318651,0.78200075,0.00329989,-0.01003442,-0.005574607,1.861578947,-4.63,0.012854571,3.027858087,-4.69,2.234737208,0.983359718,626252352.1,0.67,,0
2024-03-28_H1,33.4,15.6,2990.01953,-301.8810466,58.83973732,60931.88119,1488034119,305.7134345,-16.79913202,1082593783,1607359650,70047.554,0.808180559,307.7267971,14.75,0,4808.050699,0.892688593,-0.011203457,0.00329989,0.045764208,1.425714286,-4.72,-0.00979171,2.462485638,-4.76,1.809031597,1.089324623,954687812,1.225,,1
2024-03-28_H2,35.2,14.2,2929.11385,-173.3212673,58.9132612,60936.02984,1545973197,321.3344933,-15.43630447,1098855039,1565889718,70190.78,0.720033478,312.7173318,14.5,2,5031.108747,1.045735935,0.016907023,-0.011203457,0.011551923,2.061034483,-4.73,0.020720288,2.481073804,-4.78,3.027858087,1.940399455,383438642.6,0.74,,1
2024-03-29_H1,37.9,14.6,2833.91786,-29.24839009,58.71784394,61016.05067,1543191401,324.1004814,-13.61528057,1178943939,1621665461,70208.764,0.701908107,293.1017309,13.25,0,5290.414281,1.111075481,0.002565984,0.016907023,-0.01003442,0.126515152,-2.65,0.02874181,2.708699009,-4.82,2.462485638,1.158201412,440454204.1,1.615,,0
2024-03-29_H2,38.3,12,2847.829442,120.7749922,58.4864146,61429.26413,1522158720,307.4166382,-14.31038676,1186938766,1355882667,70243.576,0.707702544,255.2643995,13.75,19,5079.036174,1.199828794,-0.008833081,0.002565984,0.00329989,0.317,-4.06,-0.005574607,2.206252405,-4.57,2.481073804,0.974793427,344344245.2,1.62,,0
2024-03-30_H1,40.2,13.4,2741.194482,254.4106734,57.92257931,61815.8274,1305646951,278.5230101,-16.28691871,1175202056,1321366346,70180.084,0.581820048,213.9499211,11.5,5,4945.985015,1.24687565,-0.00371357,-0.008833081,-0.011203457,0.791153846,-2.6,0.045764208,2.01893314,-1.11,2.708699009,1.255283086,751476380.8,0.625,,1
2024-03-30_H2,38.7,9.8,2857.537733,388.9709833,58.07303411,61828.04683,1219851458,244.2605076,-17.03651594,1130741466,1173697930,70338.592,0.844134299,174.2021389,9.25,12,4903.456143,1.289690626,0.004624647,-0.00371357,0.016907023,1.126451613,-1.12,0.011551923,2.736468707,-4.72,2.206252405,0.760990019,497529344.4,1.32,,0
2024-03-31_H1,34.2,7.8,2784.020752,518.2990534,57.13392061,61778.93124,1082649273,210.7763578,-18.93652686,908339080.8,1099637817,70142.912,0.977436927,143.3342894,6,3,4921.852521,1.293168666,-0.008501146,0.004624647,0.002565984,1.256382979,-4.81,-0.01003442,1.881488772,0.26,2.01893314,1.248401781,1418084830,0.25,,1
